# wave flux
#  wave: A, flux: flam 
# normalized to unit energy
9.10000e+01 1.10373e-57
9.40000e+01 1.06850e-57
9.60000e+01 1.04624e-57
9.80000e+01 1.02489e-57
1.00000e+02 1.00439e-57
1.02000e+02 9.84697e-58
1.04000e+02 9.65761e-58
1.06000e+02 9.47539e-58
1.08000e+02 9.29992e-58
1.10000e+02 9.13083e-58
1.14000e+02 8.81045e-58
1.18000e+02 8.51179e-58
1.21000e+02 8.30075e-58
1.25000e+02 8.03513e-58
1.27000e+02 7.90859e-58
1.28000e+02 7.84680e-58
1.31000e+02 7.66711e-58
1.32000e+02 7.60902e-58
1.34000e+02 7.49545e-58
1.37000e+02 7.33132e-58
1.40000e+02 7.17422e-58
1.43000e+02 7.02371e-58
1.47000e+02 6.83259e-58
1.51000e+02 6.65160e-58
1.55000e+02 6.47994e-58
1.59000e+02 6.31692e-58
1.62000e+02 6.19994e-58
1.66000e+02 6.05055e-58
1.70000e+02 5.90818e-58
1.73000e+02 5.80573e-58
1.77000e+02 5.67453e-58
1.80000e+02 5.57995e-58
1.82000e+02 5.51863e-58
1.86000e+02 5.39995e-58
1.91000e+02 5.25859e-58
1.94000e+02 5.17727e-58
1.98000e+02 5.07268e-58
2.02000e+02 4.97223e-58
2.05000e+02 4.89947e-58
2.10000e+02 4.78281e-58
2.16000e+02 4.64996e-58
2.20000e+02 4.56541e-58
2.23000e+02 4.50400e-58
2.27000e+02 4.42463e-58
2.30000e+02 4.36692e-58
2.34000e+02 4.29227e-58
2.40000e+02 4.18496e-58
2.46000e+02 4.08289e-58
2.52000e+02 3.98568e-58
2.57000e+02 3.90814e-58
2.60000e+02 3.86304e-58
2.64000e+02 3.80451e-58
2.69000e+02 3.73380e-58
2.74000e+02 3.66566e-58
2.79000e+02 3.59997e-58
2.84000e+02 3.53659e-58
2.90000e+02 3.46342e-58
2.96000e+02 3.39321e-58
3.01000e+02 3.33685e-58
3.08000e+02 3.26101e-58
3.18000e+02 3.15846e-58
3.28000e+02 3.06217e-58
3.38000e+02 2.97157e-58
3.48000e+02 2.88618e-58
3.57000e+02 2.81342e-58
3.66000e+02 2.74424e-58
3.75000e+02 2.67838e-58
3.85000e+02 2.60881e-58
3.95000e+02 2.54276e-58
4.05000e+02 8.09318e-58
4.14000e+02 4.91780e-57
4.22000e+02 2.52193e-56
4.30000e+02 1.15155e-55
4.41000e+02 6.96199e-55
4.51000e+02 4.80262e-54
4.60000e+02 2.12548e-53
4.70000e+02 9.54167e-53
4.80000e+02 4.92051e-52
4.90000e+02 2.26715e-51
5.00000e+02 9.09016e-51
5.06000e+02 2.18002e-50
5.12000e+02 4.66548e-50
5.20000e+02 1.31108e-49
5.30000e+02 5.00127e-49
5.40000e+02 1.73103e-48
5.50000e+02 5.63190e-48
5.60000e+02 1.74639e-47
5.70000e+02 5.19314e-47
5.80000e+02 1.56201e-46
5.90000e+02 4.62563e-46
6.00000e+02 1.31632e-45
6.10000e+02 3.60979e-45
6.20000e+02 9.58709e-45
6.30000e+02 2.47513e-44
6.40000e+02 6.23822e-44
6.50000e+02 1.54169e-43
6.58000e+02 3.25240e-43
6.65000e+02 5.86387e-43
6.75000e+02 1.35775e-42
6.85000e+02 3.08433e-42
6.95000e+02 7.57444e-42
7.05000e+02 1.91268e-41
7.16000e+02 5.16468e-41
7.26000e+02 1.29453e-40
7.35000e+02 2.88497e-40
7.45000e+02 6.61587e-40
7.55000e+02 1.41476e-39
7.65000e+02 3.50389e-39
7.75000e+02 8.39070e-39
7.85000e+02 1.91941e-38
7.95000e+02 4.08931e-38
8.05000e+02 8.44590e-38
8.15000e+02 1.96172e-37
8.25000e+02 4.31797e-37
8.35000e+02 8.75208e-37
8.45000e+02 1.72228e-36
8.55000e+02 3.77879e-36
8.65000e+02 7.72694e-36
8.75000e+02 1.40832e-35
8.85000e+02 2.90110e-35
8.95000e+02 5.83162e-35
9.05000e+02 1.05375e-34
9.15000e+02 1.99488e-34
9.25000e+02 3.88212e-34
9.35000e+02 6.77090e-34
9.45000e+02 1.23885e-33
9.55000e+02 2.30601e-33
9.65000e+02 3.79525e-33
9.75000e+02 6.96792e-33
9.85000e+02 1.22458e-32
9.95000e+02 1.95570e-32
1.00500e+03 3.51133e-32
1.01500e+03 5.66407e-32
1.02500e+03 9.33773e-32
1.03500e+03 1.56069e-31
1.04500e+03 2.35914e-31
1.05500e+03 4.00641e-31
1.06500e+03 6.08080e-31
1.07500e+03 9.75463e-31
1.08500e+03 1.51892e-30
1.09500e+03 2.28302e-30
1.10500e+03 3.58877e-30
1.11500e+03 5.15467e-30
1.12500e+03 8.14279e-30
1.13500e+03 1.13792e-29
1.14500e+03 1.78105e-29
1.15500e+03 2.51682e-29
1.16500e+03 3.78013e-29
1.17500e+03 5.35911e-29
1.18500e+03 7.81536e-29
1.19500e+03 1.10369e-28
1.20500e+03 1.57572e-28
1.21500e+03 2.20876e-28
1.22500e+03 3.10457e-28
1.23500e+03 4.30633e-28
1.24500e+03 5.98595e-28
1.25500e+03 8.19474e-28
1.26500e+03 1.13077e-27
1.27500e+03 1.52452e-27
1.28500e+03 2.09629e-27
1.29500e+03 2.76771e-27
1.30500e+03 3.78924e-27
1.31500e+03 4.88704e-27
1.32500e+03 6.78830e-27
1.33500e+03 8.66108e-27
1.34500e+03 1.20095e-26
1.35500e+03 1.54037e-26
1.36500e+03 2.08916e-26
1.37500e+03 2.70088e-26
1.38500e+03 3.56850e-26
1.39500e+03 4.66630e-26
1.40500e+03 5.97355e-26
1.41500e+03 7.93279e-26
1.42500e+03 9.86453e-26
1.43500e+03 1.32660e-25
1.44200e+03 1.56739e-25
1.44700e+03 1.73795e-25
1.45500e+03 2.17749e-25
1.46500e+03 2.78555e-25
1.47500e+03 3.49733e-25
1.48500e+03 4.57185e-25
1.49500e+03 5.63198e-25
1.50500e+03 7.36403e-25
1.51200e+03 8.67495e-25
1.51700e+03 9.60391e-25
1.52500e+03 1.15961e-24
1.53500e+03 1.48851e-24
1.54500e+03 1.81315e-24
1.55500e+03 2.35234e-24
1.56500e+03 2.92299e-24
1.57500e+03 3.62573e-24
1.58500e+03 4.62775e-24
1.59500e+03 5.61720e-24
1.60500e+03 7.16407e-24
1.61500e+03 8.90120e-24
1.62500e+03 1.07674e-23
1.63500e+03 1.38205e-23
1.64500e+03 1.68366e-23
1.65500e+03 2.08671e-23
1.66500e+03 2.61788e-23
1.67200e+03 2.98592e-23
1.67700e+03 3.24693e-23
1.68500e+03 3.96627e-23
1.69500e+03 4.89224e-23
1.70500e+03 5.80734e-23
1.71500e+03 7.41905e-23
1.72500e+03 9.03383e-23
1.73500e+03 1.08484e-22
1.74500e+03 1.37025e-22
1.75500e+03 1.65241e-22
1.76500e+03 2.00380e-22
1.77500e+03 2.50429e-22
1.78500e+03 2.99918e-22
1.79500e+03 3.66073e-22
1.80500e+03 4.54193e-22
1.81500e+03 5.41342e-22
1.82500e+03 6.62508e-22
1.83500e+03 8.18555e-22
1.84500e+03 9.72910e-22
1.85500e+03 1.18957e-21
1.86500e+03 1.46753e-21
1.87500e+03 1.74253e-21
1.88500e+03 2.12067e-21
1.89500e+03 2.61867e-21
1.90500e+03 3.11143e-21
1.91500e+03 3.75320e-21
1.92500e+03 4.64938e-21
1.93500e+03 5.53630e-21
1.94500e+03 6.58689e-21
1.95500e+03 8.20227e-21
1.96700e+03 1.01190e-20
1.97600e+03 1.17295e-20
1.98400e+03 1.40530e-20
1.99500e+03 1.72175e-20
2.00500e+03 2.00641e-20
2.01500e+03 2.47669e-20
2.02500e+03 2.98920e-20
2.03500e+03 3.49668e-20
2.04500e+03 4.20063e-20
2.05500e+03 5.09818e-20
2.06500e+03 5.98705e-20
2.07400e+03 6.81256e-20
2.07800e+03 7.42497e-20
2.08500e+03 8.49104e-20
2.09500e+03 1.00016e-19
2.10500e+03 1.14979e-19
2.11500e+03 1.37252e-19
2.12500e+03 1.61922e-19
2.13500e+03 1.86361e-19
2.14500e+03 2.14640e-19
2.15500e+03 2.53072e-19
2.16500e+03 2.91148e-19
2.17500e+03 3.28874e-19
2.18500e+03 3.81282e-19
2.19500e+03 4.37937e-19
2.20500e+03 4.94078e-19
2.21500e+03 5.54741e-19
2.22500e+03 6.36205e-19
2.23500e+03 7.16940e-19
2.24500e+03 7.96956e-19
2.25500e+03 8.95744e-19
2.26500e+03 1.00953e-18
2.27500e+03 1.12231e-18
2.28500e+03 1.23411e-18
2.29500e+03 1.38691e-18
2.30500e+03 1.54518e-18
2.31500e+03 1.70208e-18
2.32500e+03 1.86454e-18
2.33500e+03 2.08747e-18
2.34500e+03 2.30849e-18
2.35500e+03 2.52764e-18
2.36500e+03 2.77258e-18
2.37500e+03 3.08622e-18
2.38500e+03 3.39724e-18
2.39500e+03 3.70565e-18
2.40500e+03 4.06839e-18
2.41500e+03 4.51309e-18
2.42500e+03 4.95412e-18
2.43500e+03 5.39153e-18
2.44500e+03 5.92036e-18
2.45500e+03 6.55595e-18
2.46500e+03 7.18638e-18
2.47500e+03 7.81171e-18
2.48500e+03 8.56651e-18
2.49500e+03 9.47899e-18
2.50500e+03 1.03842e-17
2.51300e+03 1.11031e-17
2.51800e+03 1.15502e-17
2.52500e+03 1.23385e-17
2.53500e+03 1.36555e-17
2.54500e+03 1.49621e-17
2.55500e+03 1.62585e-17
2.56500e+03 1.76896e-17
2.57500e+03 1.95924e-17
2.58500e+03 2.14806e-17
2.59500e+03 2.33541e-17
2.60500e+03 2.52408e-17
2.61500e+03 2.79980e-17
2.62500e+03 3.07342e-17
2.63500e+03 3.34496e-17
2.64500e+03 3.61444e-17
2.65500e+03 3.98118e-17
2.66500e+03 4.37814e-17
2.67500e+03 4.77214e-17
2.68500e+03 5.16319e-17
2.69500e+03 5.62804e-17
2.70500e+03 6.20404e-17
2.71500e+03 6.77581e-17
2.72500e+03 7.34338e-17
2.73500e+03 7.90680e-17
2.74500e+03 8.73784e-17
2.75500e+03 9.56837e-17
2.76500e+03 1.03929e-16
2.77500e+03 1.12115e-16
2.78500e+03 1.22162e-16
2.79500e+03 1.34211e-16
2.80500e+03 1.46174e-16
2.81500e+03 1.58052e-16
2.82500e+03 1.69846e-16
2.83500e+03 1.86852e-16
2.84500e+03 2.04197e-16
2.85500e+03 2.21420e-16
2.86500e+03 2.38524e-16
2.87500e+03 2.57833e-16
2.88500e+03 2.82967e-16
2.89500e+03 3.07927e-16
2.91000e+03 3.45046e-16
2.93000e+03 4.06566e-16
2.95000e+03 4.78365e-16
2.97000e+03 5.53636e-16
2.99000e+03 6.57408e-16
3.01000e+03 7.59801e-16
3.03000e+03 8.81796e-16
3.05000e+03 1.01133e-15
3.07000e+03 1.15357e-15
3.09000e+03 1.34619e-15
3.11000e+03 1.53634e-15
3.13000e+03 1.78126e-15
3.15000e+03 2.04743e-15
3.17000e+03 2.32595e-15
3.19000e+03 2.69687e-15
3.21000e+03 3.06316e-15
3.23000e+03 3.50728e-15
3.25000e+03 4.01566e-15
3.27000e+03 4.51782e-15
3.29000e+03 5.19841e-15
3.31000e+03 5.89229e-15
3.33000e+03 6.63659e-15
3.35000e+03 7.59169e-15
3.37000e+03 8.53545e-15
3.39000e+03 9.64594e-15
3.41000e+03 1.09389e-14
3.43000e+03 1.22167e-14
3.45000e+03 1.38285e-14
3.47000e+03 1.55703e-14
3.49000e+03 1.72921e-14
3.51000e+03 1.95748e-14
3.53000e+03 2.19102e-14
3.55000e+03 2.42280e-14
3.57000e+03 2.73763e-14
3.59000e+03 3.04895e-14
3.60183e+03 3.23143e-14
3.60273e+03 3.24526e-14
3.60363e+03 3.25911e-14
3.60453e+03 3.27293e-14
3.60543e+03 3.28675e-14
3.60633e+03 3.30057e-14
3.60723e+03 3.31437e-14
3.60813e+03 3.32833e-14
3.60903e+03 3.34722e-14
3.60993e+03 3.36609e-14
3.61083e+03 3.38497e-14
3.61173e+03 3.40383e-14
3.61263e+03 3.42267e-14
3.61353e+03 3.44151e-14
3.61443e+03 3.46033e-14
3.61533e+03 3.47917e-14
